date,close,volume,open,beta
2010-06-29,1.5926669836044312,281494500,1.2666670083999634,2.434
2010-06-30,1.5886670351028442,257806500,1.7193330526351929,2.434
2010-07-01,1.4639999866485596,123282000,1.6666669845581055,2.434
2010-07-02,1.2799999713897705,77097000,1.5333329439163208,2.434
2010-07-06,1.0740000009536743,103003500,1.3333330154418945,2.434
2010-07-07,1.053333044052124,103825500,1.0933330059051514,2.434
2010-07-08,1.1640000343322754,115671000,1.0759999752044678,2.434
2010-07-09,1.159999966621399,60759000,1.1720000505447388,2.434
2010-07-12,1.136667013168335,33037500,1.196666955947876,2.434
2010-07-13,1.2093329429626465,40201500,1.1593329906463623,2.434
2010-07-14,1.3226670026779175,62928000,1.1959999799728394,2.434
2010-07-15,1.3259999752044678,56097000,1.329332947731018,2.434
2010-07-16,1.3760000467300415,39319500,1.3799999952316284,2.434
2010-07-19,1.4606670141220093,37297500,1.4246670007705688,2.434
2010-07-20,1.3533329963684082,27379500,1.4566669464111328,2.434
2010-07-21,1.3480000495910645,18787500,1.3773330450057983,2.434
2010-07-22,1.399999976158142,14367000,1.3666670322418213,2.434
2010-07-23,1.4193329811096191,9804000,1.4126670360565186,2.434
2010-07-26,1.3966670036315918,13833000,1.4333330392837524,2.434
2010-07-27,1.3700000047683716,9295500,1.3940000534057617,2.434
2010-07-28,1.3813329935073853,7008000,1.3700000047683716,2.434
2010-07-29,1.3566670417785645,9240000,1.3846670389175415,2.434
2010-07-30,1.329332947731018,6403500,1.3466670513153076,2.434
2010-08-02,1.3946670293807983,10771500,1.3666670322418213,2.434
2010-08-03,1.463333010673523,18457500,1.399999976158142,2.434
2010-08-04,1.4173330068588257,13695000,1.463333010673523,2.434
2010-08-05,1.363332986831665,11943000,1.4359999895095825,2.434
2010-08-06,1.305999994277954,11128500,1.340000033378601,2.434
2010-08-09,1.3066669702529907,12190500,1.3266669511795044,2.434
2010-08-10,1.2686669826507568,19219500,1.309999942779541,2.434
2010-08-11,1.1933330297470093,11964000,1.246000051498413,2.434
2010-08-12,1.1733330488204956,10365000,1.1866669654846191,2.434
2010-08-13,1.2213330268859863,9510000,1.2120000123977661,2.434
2010-08-16,1.2519999742507935,7287000,1.2300000190734863,2.434
2010-08-17,1.2766669988632202,6718500,1.2640000581741333,2.434
2010-08-18,1.2513329982757568,9019500,1.305999994277954,2.434
2010-08-19,1.25266695022583,8686500,1.2359999418258667,2.434
2010-08-20,1.273332953453064,4440000,1.2433329820632935,2.434
2010-08-23,1.3420000076293945,16321500,1.2726670503616333,2.434
2010-08-24,1.2799999713897705,10096500,1.2833329439163208,2.434
2010-08-25,1.3266669511795044,7549500,1.2773330211639404,2.434
2010-08-26,1.3166669607162476,6507000,1.3259999752044678,2.434
2010-08-27,1.3133330345153809,5694000,1.3166669607162476,2.434
2010-08-30,1.324666976928711,10992000,1.3133330345153809,2.434
2010-08-31,1.2986669540405273,3016500,1.3106670379638672,2.434
2010-09-01,1.363332986831665,7423500,1.3079999685287476,2.434
2010-09-02,1.4040000438690186,7306500,1.3580000400543213,2.434
2010-09-03,1.4033329486846924,6519000,1.391332983970642,2.434
2010-09-07,1.369333028793335,3651000,1.3739999532699585,2.434
2010-09-08,1.3933329582214355,4326000,1.3773330450057983,2.434
